Название вкладки,Что это такое,Частота обновления,Дата последнего обновления,Результат
stocks,Стоки,30 минут,,
stocks_hard,Стоки,30 минут
orders_1mnth,Заказы за месяц,1 раз в день,
orders_1week,Заказы за неделю,1 раз в день
orders_2days,Заказы за два дня,1 раз в день
orders_today,Заказы за сегодня,30 минут,
sales_today,Продажи за сегодня,30 минут
sales_1mnth,Продажи за месяц, 1 раз в день
tariffs_boxes,Тариф логистики по коробам,1 раз в день
tariffs_pallet,Тариф логистики для монопаллет,1 раз в день,
prices,Цены,10 минут
fixed_prices,Цены к вчерашнему вечер,1 день
storage_paid,?,?,
rk,Рекламные компании,?
statements,Финансовые отчёты,?
nm_report,?,?
coefficients,?,?